building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
2,10-20 arası,6,3+1,130,Esenyurt,Zafer,40000,180000
0,10-20 arası,3,4+1,152,Başakşehir,Kayabaşı,555000,1050000
0,9,Yüksek Giriş,3+1,120,Pendik,Çınardere,0,200000
1,5,5,4+1,140,Tuzla,Orhanlı,0,130000
6-10 arası,10-20 arası,4,3+1,86,Kadıköy,Suadiye,560000,720000
1,10-20 arası,3,3+1,120,Kadıköy,Caddebostan,1180000,1180000
0,20 ve üzeri,15,3+1,163,Başakşehir,Kayabaşı,195000,210000
0,10-20 arası,6,3+1,117,Kadıköy,Suadiye,510000,640000
3,9,Yüksek Giriş,4+1,185,Beylikdüzü,Adnan Kahveci,90000,200000
2,10-20 arası,15,3+2,190,Kartal,Petroliş,0,660000
0,10,8,3+1,97,Kadıköy,Suadiye,400000,500000
0,10-20 arası,13,3+1,118,Başakşehir,Ziya Gökalp,0,135000
0,8,7,2+1,90,Pendik,Fevzi Çakmak,70000,135000
4,20 ve üzeri,15,3+1,110,Esenyurt,Yeşilkent,275000,345000
0,9,3,2+1,90,Çekmeköy,Cumhuriyet,170000,170000
0,10-20 arası,6,3+1,110,Kadıköy,Caddebostan,0,505000
0,10-20 arası,15,3+1,95,Kadıköy,19 Mayıs,545000,545000
0,8,7,2+1,90,Pendik,Fevzi Çakmak,310000,390000
0,10-20 arası,15,3+1,95,Kadıköy,19 Mayıs,745000,1350000
6-10 arası,10-20 arası,7,3+1,130,Ümraniye,Adem Yavuz,0,245000
2,5,5,2+1,100,Başakşehir,Başakşehir,90000,205000
1,10,7,2+1,85,Eyüpsultan,Çırçır,0,165000
5,10,7,3+1,110,Başakşehir,Kayabaşı,100000,150000
6-10 arası,10-20 arası,12,3+1,88,Başakşehir,Kayabaşı,0,115000
0,10,Yüksek Giriş,3+1,95,Kartal,Petroliş,140000,175000
5,8,6,3+1,100,Başakşehir,Kayabaşı,100000,145000
0,4,3,3+1,110,Maltepe,Altıntepe,0,575000
0,10-20 arası,13,3+1,120,Kadıköy,Göztepe,1410000,1410000
6-10 arası,9,6,3+1,129,Küçükçekmece,Atakent,240000,250000
0,20 ve üzeri,15,3+1,104,Kartal,Kordonboyu,485000,1500000
0,3,Müstakil,4+1,180,Başakşehir,Kayabaşı,65000,125000
0,8,7,2+1,120,Sultanbeyli,Battalgazi,110000,140000
0,4,Yüksek Giriş,2+1,120,Küçükçekmece,Cumhuriyet,0,145000
0,10-20 arası,6,3+1,140,Sultangazi,Cebeci,75000,140000
2,10-20 arası,13,3+1,120,Beylikdüzü,Barış,575000,720000
6-10 arası,10-20 arası,4,3+1,90,Kadıköy,Suadiye,0,260000
3,10-20 arası,13,2+1,110,Bağcılar,Mahmutbey,0,310000
0,10-20 arası,4,3+1,85,Kadıköy,Caddebostan,0,465000
0,10-20 arası,6,4+1,154,Kadıköy,Suadiye,765000,955000
1,10-20 arası,3,3+1,141,Başakşehir,Başakşehir,0,370000
0,10,8,2+1,87,Pendik,Güllü Bağlar,0,270000
2,10-20 arası,15,3+1,125,Esenyurt,Zafer,175000,175000
6-10 arası,10-20 arası,5,2+1,122,Başakşehir,Kayabaşı,15000,100000
2,10-20 arası,13,2+1,125,Bağcılar,Mahmutbey,200000,250000
4,2,8,3+1,110,Esenyurt,Yeşilkent,60000,155000
3,5,5,3+1,140,Kağıthane,Merkez,135000,210000
1,10,Yüksek Giriş,4+1,193,Başakşehir,Başakşehir,635000,1170000
0,10-20 arası,12,3+1,105,Kadıköy,Erenköy,1120000,1120000
6-10 arası,10-20 arası,Yüksek Giriş,3+1,125,Başakşehir,Ziya Gökalp,220000,275000
0,10-20 arası,15,3+1,95,Kadıköy,19 Mayıs,535000,535000
1,6,3,3+1,124,Sultanbeyli,Mimar Sinan,0,135000
0,20 ve üzeri,13,3+1,125,Kartal,Esentepe,0,520000
0,10-20 arası,15,3+1,95,Kadıköy,19 Mayıs,585000,730000
0,10-20 arası,15,2+1,83,Maltepe,Cevizli,160000,600000
0,10-20 arası,3,4+1,157,Başakşehir,Kayabaşı,240000,240000
0,10,6,3+1,105,Pendik,Velibaba,0,390000
4,5,5,4+1,160,Tuzla,İstasyon,540000,675000
0,20 ve üzeri,12,3+1,115,Başakşehir,Kayabaşı,455000,570000
3,7,6,2+1,125,Beylikdüzü,Adnan Kahveci,115000,145000
0,9,7,3+1,95,Maltepe,Esenkent,435000,435000
4,5,5,4+1,163,Tuzla,İstasyon,385000,480000
1,10-20 arası,4,3+1,118,Başakşehir,Bahçeşehir 1. Kısım,300000,375000
2,10-20 arası,6,3+1,130,Esenyurt,Zafer,205000,255000
1,10-20 arası,10,4+1,160,Kadıköy,Bostancı,930000,1160000
26-30 arası,10-20 arası,11,3+1,120,Kadıköy,Sahrayı Cedit,420000,525000
21-25 arası,10-20 arası,10,3+1,110,Bahçelievler,Bahçelievler,350000,440000
1,10-20 arası,10,4+1,160,Kadıköy,Bostancı,635000,795000
40 ve üzeri,4,4,3+1,100,Üsküdar,Selimiye,0,235000
0,20 ve üzeri,10,2+1,85,Başakşehir,Bahçeşehir 2. Kısım,0,215000
36-40 arası,4,Yüksek Giriş,3+1,115,Kadıköy,Fenerbahçe,160000,260000
16-20 arası,4,Bahçe katı,3+1,115,Ataşehir,İçerenköy,140000,175000
3,10-20 arası,10,3+1,144,Başakşehir,Başakşehir,135000,220000
16-20 arası,10-20 arası,11,3+1,145,Başakşehir,Bahçeşehir 1. Kısım,180000,225000
21-25 arası,7,7,3+1,120,Bahçelievler,Bahçelievler,480000,600000
6-10 arası,10-20 arası,8,4+1,145,Başakşehir,Bahçeşehir 1. Kısım,0,300000
0,8,8,2+1,80,Gaziosmanpaşa,Bağlarbaşı,0,200000
4,10-20 arası,5,3+1,139,Küçükçekmece,Atakent,0,395000
0,10-20 arası,10,3+1,90,Kadıköy,Merdivenköy,545000,545000
21-25 arası,9,9,3+1,90,Kağıthane,Hamidiye,355000,445000
21-25 arası,10,9,3+1,147,Kadıköy,Eğitim,0,265000
0,4,Bahçe katı,2+1,100,Beyoğlu,Tomtom,0,640000
11-15 arası,10,9,3+1,130,Beylikdüzü,Sahil,295000,295000
36-40 arası,5,1,3+1,125,Kadıköy,Erenköy,0,275000
11-15 arası,10,9,3+1,130,Beylikdüzü,Sahil,45000,115000
21-25 arası,6,6,3+1,135,Kadıköy,Erenköy,490000,490000
4,20 ve üzeri,10,2+1,90,Esenyurt,Yeşilkent,175000,220000
1,20 ve üzeri,10,4+1,186,Başakşehir,Kayabaşı,50000,410000
16-20 arası,4,3,3+1,140,Güngören,Mehmet Nesih Özmen,0,345000
21-25 arası,10-20 arası,9,2+1,103,Bakırköy,Ataköy 7-8-9-10. Kısım,0,315000
16-20 arası,20 ve üzeri,15,2+1,90,Başakşehir,Bahçeşehir 2. Kısım,175000,175000
26-30 arası,5,5,2+1,85,Kadıköy,Koşuyolu,0,260000
40 ve üzeri,4,Yüksek Giriş,3+1,90,Kadıköy,Erenköy,220000,220000
26-30 arası,9,9,3+1,95,Kadıköy,Merdivenköy,205000,255000
40 ve üzeri,8,6,3+1,130,Şişli,İnönü,110000,345000
21-25 arası,5,4,3+1,130,Avcılar,Merkez,280000,320000
31-35 arası,3,2,3+1,90,Kadıköy,Fenerbahçe,65000,225000
31-35 arası,3,Yüksek Giriş,2+1,80,Kadıköy,Caddebostan,0,305000
2,20 ve üzeri,20 ve üzeri,2+1,126,Esenyurt,Zafer,0,190000
0,7,7,4+1,165,Beylikdüzü,Adnan Kahveci,285000,315000
26-30 arası,5,5,3+1,100,Kadıköy,Kozyatağı,280000,280000
31-35 arası,3,Yüksek Giriş,2+1,80,Kadıköy,Caddebostan,85000,230000
21-25 arası,9,8,2+1,86,Kadıköy,Acıbadem,0,330000
26-30 arası,5,5,2+1,85,Üsküdar,Barbaros,0,250000
31-35 arası,4,3,3+1,98,Kadıköy,Zühtüpaşa,220000,275000
1,20 ve üzeri,20 ve üzeri,1+1,92,Ümraniye,Site,0,360000
26-30 arası,5,3,3+1,130,Bakırköy,Zuhuratbaba,0,265000
1,20 ve üzeri,20 ve üzeri,2+1,135,Başakşehir,Kayabaşı,0,265000
16-20 arası,10,11,3+1,140,Büyükçekmece,Mimaroba,85000,150000
16-20 arası,10-20 arası,En Üst Kat,4+1,200,Başakşehir,Bahçeşehir 1. Kısım,615000,615000
3,5,En Üst Kat,4+1,175,Beylikdüzü,Adnan Kahveci,565000,565000
21-25 arası,10,3,3+1,110,Bahçelievler,Bahçelievler,0,250000
6-10 arası,10-20 arası,10,4+1,190,Başakşehir,Bahçeşehir 1. Kısım,380000,395000
1,20 ve üzeri,20 ve üzeri,1+1,92,Ümraniye,Site,0,750000
21-25 arası,10-20 arası,11,3+1,105,Ataşehir,İçerenköy,180000,230000
21-25 arası,4,3,3+1,100,Kadıköy,Koşuyolu,115000,255000
11-15 arası,10-20 arası,11,3+1,125,Başakşehir,Bahçeşehir 1. Kısım,245000,305000
2,5,En Üst Kat,6+1,180,Maltepe,Girne,0,245000
31-35 arası,7,2,3+1,150,Şişli,Merkez,0,375000
26-30 arası,5,5,3+1,100,Kadıköy,Kozyatağı,0,185000
21-25 arası,10-20 arası,11,3+1,115,Kadıköy,Sahrayı Cedit,160000,195000
31-35 arası,7,2,4+1,150,Şişli,Merkez,0,445000
16-20 arası,10-20 arası,4,3+1,135,Başakşehir,Bahçeşehir 1. Kısım,0,495000
6-10 arası,10-20 arası,11,2+1,100,Beylikdüzü,Cumhuriyet,140000,340000
3,20 ve üzeri,20 ve üzeri,1+1,83,Gaziosmanpaşa,Karadeniz,0,145000
11-15 arası,10,9,3+1,112,Başakşehir,Bahçeşehir 2. Kısım,0,205000
21-25 arası,10,10,2+1,80,Maltepe,Altayçeşme,175000,220000
1,20 ve üzeri,20 ve üzeri,2+1,85,Başakşehir,Kayabaşı,0,210000
36-40 arası,4,Bahçe katı,2+1,80,Şişli,Merkez,0,205000
1,20 ve üzeri,20 ve üzeri,2+1,135,Başakşehir,Kayabaşı,0,250000
31-35 arası,6,Kot 1,3+1,124,Beşiktaş,Gayrettepe,100000,195000
2,20 ve üzeri,17,3+1,111,Başakşehir,Kayabaşı,710000,890000
6-10 arası,10,2,4+1,200,Esenyurt,Koza,1030000,1030000
21-25 arası,10,10,2+1,80,Maltepe,Altayçeşme,240000,240000
4,10-20 arası,9,3+1,140,Başakşehir,Ziya Gökalp,130000,160000
31-35 arası,7,4,3+1,180,Şişli,Teşvikiye,0,570000
31-35 arası,7,4,3+1,120,Kadıköy,Bostancı,0,190000
21-25 arası,5,4,4+1,150,Kadıköy,Suadiye,150000,330000
0,10,10,2+1,95,Sultangazi,Eski Habipler,200000,200000
26-30 arası,10-20 arası,3,2+1,105,Bakırköy,Ataköy 7-8-9-10. Kısım,275000,285000
16-20 arası,9,9,3+1,120,Kartal,Uğur Mumcu,130000,365000
16-20 arası,9,6,3+1,148,Büyükçekmece,Sinanoba,0,265000
31-35 arası,5,1,3+1,110,Şişli,Eskişehir,0,210000
6-10 arası,10,2,3+1,126,Başakşehir,Bahçeşehir 2. Kısım,350000,350000
31-35 arası,7,4,3+1,120,Kadıköy,Bostancı,375000,470000
31-35 arası,7,4,4+1,160,Şişli,Halaskargazi,0,495000
2,20 ve üzeri,10,3+1,160,Gaziosmanpaşa,Karadeniz,490000,490000
0,10-20 arası,9,2+1,100,Tuzla,Aydıntepe,85000,105000
26-30 arası,8,6,3+1,145,Kadıköy,Kozyatağı,270000,270000
31-35 arası,7,4,2+1,95,Şişli,Merkez,265000,750000
31-35 arası,5,1,2+1,84,Güngören,Abdurrahman Nafiz Gürman,0,200000
16-20 arası,10-20 arası,11,3+1,105,Maltepe,Altayçeşme,85000,150000
16-20 arası,5,4,3+1,180,Beylikdüzü,Marmara,270000,340000
26-30 arası,7,7,2+1,120,Üsküdar,Ünalan,175000,175000
1,20 ve üzeri,11,4+1,158,Başakşehir,Kayabaşı,0,420000
26-30 arası,5,4,4+1,145,Şişli,Teşvikiye,0,960000
31-35 arası,5,1,2+1,84,Güngören,Abdurrahman Nafiz Gürman,80000,200000
2,20 ve üzeri,18,2+1,90,Gaziosmanpaşa,Karadeniz,250000,290000
0,10-20 arası,10,2+1,108,Başakşehir,Bahçeşehir 2. Kısım,0,150000
26-30 arası,8,5,3+1,100,Kadıköy,Kozyatağı,70000,170000
0,10-20 arası,8,2+1,110,Esenyurt,Barbaros Hayrettin Paşa,130000,160000
26-30 arası,8,6,3+1,145,Kadıköy,Kozyatağı,0,175000
31-35 arası,3,Yüksek Giriş,2+1,80,Kadıköy,Caddebostan,315000,395000
0,10-20 arası,10,2+1,110,Esenyurt,Akevler,0,155000
16-20 arası,9,9,2+1,127,Büyükçekmece,Sinanoba,70000,140000
21-25 arası,10-20 arası,10,3+1,90,Kadıköy,Sahrayı Cedit,0,285000
31-35 arası,8,7,3+1,120,Şişli,Teşvikiye,525000,655000
21-25 arası,10-20 arası,11,3+1,110,Ataşehir,İçerenköy,0,245000
16-20 arası,7,7,3+1,148,Büyükçekmece,Mimaroba,185000,185000
26-30 arası,5,4,2+1,84,Üsküdar,Barbaros,0,230000
26-30 arası,5,4,3+1,110,Bakırköy,Kartaltepe,185000,190000
21-25 arası,5,1,3+1,145,Beşiktaş,Konaklar,290000,480000
31-35 arası,5,Yüksek Giriş,2+1,88,Şişli,Mecidiyeköy,0,265000
21-25 arası,10-20 arası,17,3+1,95,Küçükçekmece,Atakent,0,120000
26-30 arası,5,4,3+1,115,Üsküdar,Acıbadem,0,280000
3,10-20 arası,4,3+1,110,Esenyurt,Barbaros Hayrettin Paşa,0,240000
6-10 arası,10-20 arası,1,2+1,88,Başakşehir,Kayabaşı,30000,340000
5,9,2,3+1,126,Küçükçekmece,Atakent,570000,570000
21-25 arası,7,4,4+1,150,Başakşehir,Bahçeşehir 2. Kısım,275000,345000
31-35 arası,5,Bahçe katı,2+1,95,Şişli,Teşvikiye,0,405000
11-15 arası,9,4,2+1,110,Şişli,19 Mayıs,200000,285000
16-20 arası,10-20 arası,4,3+1,135,Başakşehir,Bahçeşehir 1. Kısım,315000,395000
26-30 arası,9,2,3+1,105,Kadıköy,Bostancı,55000,190000
16-20 arası,5,Bahçe katı,3+1,90,Beşiktaş,Kuruçeşme,250000,1060000
0,9,2,2+1,104,Pendik,Güllü Bağlar,70000,130000
16-20 arası,9,7,3+1,148,Büyükçekmece,Ekinoba,0,140000
11-15 arası,8,2,3+1,140,Kadıköy,Acıbadem,530000,530000
0,9,6,3+1,135,Pendik,Güllü Bağlar,520000,650000
16-20 arası,9,2,3+1,130,Beylikdüzü,Cumhuriyet,395000,495000
21-25 arası,9,2,3+1,120,Kartal,Uğur Mumcu,310000,310000
21-25 arası,10-20 arası,8,3+1,110,Ataşehir,İçerenköy,0,350000
31-35 arası,9,2,3+1,110,Kadıköy,Caddebostan,0,480000
6-10 arası,10-20 arası,4,4+1,175,Başakşehir,Bahçeşehir 1. Kısım,215000,250000
31-35 arası,5,1,3+1,110,Şişli,Eskişehir,80000,140000
26-30 arası,5,4,2+1,110,Beşiktaş,Nisbetiye,1020000,1200000
36-40 arası,5,5,3+1,136,Bakırköy,Sakızağacı,1295000,1295000
0,10-20 arası,4,3+1,130,Arnavutköy,Hadımköy,0,310000
26-30 arası,10-20 arası,4,3+1,100,Beşiktaş,Akat,0,465000
21-25 arası,9,2,3+1,110,Kadıköy,Kozyatağı,0,260000
3,20 ve üzeri,5,2+1,82,Gaziosmanpaşa,Karadeniz,0,245000
11-15 arası,4,3,3+1,145,Kadıköy,Caferağa,825000,825000
11-15 arası,9,2,3+1,135,Kartal,Uğur Mumcu,260000,260000
31-35 arası,5,1,2+1,85,Şişli,Esentepe,0,380000
0,8,1,2+1,104,Pendik,Güllü Bağlar,0,150000
16-20 arası,20 ve üzeri,15,2+1,90,Başakşehir,Bahçeşehir 2. Kısım,275000,460000
4,9,2,2+1,90,Esenler,Turgut Reis,80000,135000
21-25 arası,6,6,3+1,135,Kadıköy,Erenköy,0,260000
21-25 arası,8,1,3+1,145,Kadıköy,Kozyatağı,435000,435000
26-30 arası,5,4,3+1,100,Kadıköy,Kozyatağı,275000,275000
31-35 arası,5,1,3+1,110,Şişli,Eskişehir,320000,320000
31-35 arası,5,1,3+1,110,Şişli,Eskişehir,0,140000
26-30 arası,4,4,2+1,105,Pendik,Batı,0,125000
26-30 arası,8,2,3+1,110,Kadıköy,Feneryolu,0,315000
16-20 arası,8,2,3+1,152,Kadıköy,Fenerbahçe,0,690000
31-35 arası,4,2,3+1,120,Beşiktaş,Levent,0,550000
21-25 arası,10-20 arası,14,3+1,105,Kadıköy,Sahrayı Cedit,0,225000
31-35 arası,5,1,2+1,84,Güngören,Abdurrahman Nafiz Gürman,275000,275000
26-30 arası,5,3,3+1,130,Beşiktaş,Nisbetiye,0,1300000
0,10-20 arası,4,3+1,130,Arnavutköy,Hadımköy,0,130000
31-35 arası,5,1,3+1,110,Şişli,Eskişehir,205000,255000
1,10-20 arası,6,4+1,162,Başakşehir,Kayabaşı,280000,1150000
21-25 arası,9,5,3+1,94,Maltepe,Feyzullah,0,235000
31-35 arası,5,1,2+1,84,Güngören,Abdurrahman Nafiz Gürman,200000,200000
26-30 arası,9,5,3+1,130,Kadıköy,Bostancı,120000,195000
26-30 arası,6,3,3+1,143,Kadıköy,Erenköy,330000,425000
16-20 arası,4,3,3+1,140,Güngören,Mehmet Nesih Özmen,635000,1050000
21-25 arası,10-20 arası,1,3+1,80,Kadıköy,Kozyatağı,0,225000
6-10 arası,5,1,3+1,130,Eyüpsultan,Göktürk Merkez,1060000,1325000
2,10-20 arası,5,2+1,95,Başakşehir,Bahçeşehir 1. Kısım,0,160000
31-35 arası,4,2,3+1,120,Beşiktaş,Nisbetiye,900000,1125000
26-30 arası,4,1,2+1,100,Kadıköy,Osmanağa,0,300000
21-25 arası,4,2,4+1,160,Kadıköy,Acıbadem,165000,510000
26-30 arası,8,5,3+1,145,Kadıköy,Kozyatağı,0,250000
26-30 arası,9,6,3+1,110,Kadıköy,Erenköy,0,670000
0,10-20 arası,1,3+1,125,Bağcılar,Yenimahalle,140000,175000
31-35 arası,4,2,3+1,127,Kadıköy,Caddebostan,325000,510000
11-15 arası,10-20 arası,Bahçe katı,3+1,170,Sarıyer,Maslak,0,695000
0,20 ve üzeri,12,2+1,90,Kartal,Topselvi,335000,420000
0,10-20 arası,7,3+1,130,Arnavutköy,Hadımköy,160000,200000
6-10 arası,8,8,2+1,100,Esenyurt,Aşık Veysel,0,160000
21-25 arası,9,5,3+1,94,Maltepe,Feyzullah,30000,160000
26-30 arası,5,1,3+1,105,Güngören,Abdurrahman Nafiz Gürman,0,195000
21-25 arası,4,2,3+1,135,Beşiktaş,Türkali,465000,800000
16-20 arası,5,2,3+1,140,Beşiktaş,Ulus,1430000,1790000
0,9,5,2+1,87,Sancaktepe,Abdurrahmangazi,145000,180000
16-20 arası,6,Yüksek Giriş,3+1,130,Büyükçekmece,Sinanoba,0,135000
26-30 arası,8,5,3+1,110,Kadıköy,19 Mayıs,75000,200000
26-30 arası,6,3,4+1,160,Beşiktaş,Ulus,1035000,1295000
31-35 arası,4,1,3+1,80,Kadıköy,Bostancı,145000,180000
21-25 arası,10,3,3+1,125,Maltepe,Altayçeşme,0,255000
26-30 arası,10,3,3+1,110,Kadıköy,19 Mayıs,0,215000
21-25 arası,10-20 arası,7,4+1,145,Kadıköy,Erenköy,290000,395000
0,6,3,2+1,90,Sancaktepe,Abdurrahmangazi,245000,305000
26-30 arası,5,2,3+1,100,Kadıköy,Fenerbahçe,0,350000
31-35 arası,3,1,2+1,90,Kadıköy,Feneryolu,395000,500000
26-30 arası,5,2,3+1,100,Kadıköy,Fenerbahçe,0,385000
0,10-20 arası,7,2+1,100,Bağcılar,Mahmutbey,0,430000
31-35 arası,6,Yüksek Giriş,4+1,150,Şişli,19 Mayıs,500000,625000
40 ve üzeri,6,6,4+1,165,Şişli,Fulya,0,835000
31-35 arası,4,4,3+1,90,Kadıköy,Zühtüpaşa,360000,450000
4,10-20 arası,Zemin Kat,2+1,123,Başakşehir,Bahçeşehir 2. Kısım,120000,520000
31-35 arası,6,Yüksek Giriş,4+1,150,Şişli,Teşvikiye,0,570000
31-35 arası,10-20 arası,12,3+1,120,Kadıköy,Erenköy,390000,490000
16-20 arası,9,Yüksek Giriş,3+1,128,Kadıköy,Acıbadem,0,555000
21-25 arası,7,7,3+1,120,Bahçelievler,Bahçelievler,225000,245000
1,10,1,4+1,186,Başakşehir,Kayabaşı,545000,545000
6-10 arası,10,1,3+1,155,Zeytinburnu,Merkezefendi,485000,605000
26-30 arası,5,1,3+1,130,Kadıköy,Feneryolu,0,900000
21-25 arası,10-20 arası,14,3+1,105,Kadıköy,Sahrayı Cedit,0,225000
5,4,4,2+2,140,Maltepe,Fındıklı,300000,375000
31-35 arası,4,2,3+1,170,Kadıköy,Caddebostan,0,310000
21-25 arası,10,5,3+1,130,Kadıköy,Koşuyolu,0,415000
26-30 arası,5,1,3+1,115,Kadıköy,Caddebostan,730000,730000
36-40 arası,4,4,3+1,135,Beşiktaş,Konaklar,835000,835000
0,10,5,3+1,150,Başakşehir,Bahçeşehir 2. Kısım,290000,290000
21-25 arası,5,1,3+1,120,Maltepe,Çınar,350000,440000
31-35 arası,4,4,2+1,105,Şişli,Merkez,55000,175000
21-25 arası,4,1,3+1,115,Maltepe,İdealtepe,320000,320000
21-25 arası,10,5,3+1,130,Kadıköy,Koşuyolu,0,410000
31-35 arası,3,1,2+1,90,Kadıköy,Feneryolu,0,170000
31-35 arası,4,2,3+1,120,Beşiktaş,Nisbetiye,235000,495000
31-35 arası,4,2,3+1,120,Beşiktaş,Levent,240000,1500000
21-25 arası,10,5,3+1,130,Kadıköy,Koşuyolu,330000,330000
16-20 arası,10-20 arası,16,3+1,95,Küçükçekmece,Atakent,0,205000
31-35 arası,6,Yüksek Giriş,2+1,90,Kadıköy,Caddebostan,575000,575000
26-30 arası,6,3,4+1,160,Beşiktaş,Ulus,0,565000
16-20 arası,10-20 arası,7,3+1,150,Başakşehir,Bahçeşehir 1. Kısım,0,290000
21-25 arası,10-20 arası,14,3+1,105,Kadıköy,Sahrayı Cedit,90000,180000
26-30 arası,6,3,3+1,98,Bakırköy,Ataköy 2-5-6. Kısım,300000,375000
6-10 arası,6,Bahçe katı,3+1,160,Başakşehir,Bahçeşehir 1. Kısım,0,575000
21-25 arası,10,5,3+1,130,Kadıköy,Koşuyolu,315000,395000
26-30 arası,5,2,3+1,100,Kadıköy,Fenerbahçe,560000,560000
21-25 arası,5,3,3+1,120,Üsküdar,Acıbadem,235000,295000
26-30 arası,1,3,3+1,110,Maltepe,Küçükyalı,335000,335000
26-30 arası,5,2,3+1,100,Kadıköy,Fenerbahçe,0,410000
5,4,4,2+2,140,Maltepe,Fındıklı,140000,175000
6-10 arası,10,8,2+1,84,Başakşehir,Başakşehir,0,150000
26-30 arası,4,2,2+1,80,Kadıköy,Osmanağa,295000,295000
26-30 arası,4,3,3+1,125,Bakırköy,Yeşilköy,0,715000
31-35 arası,6,Yüksek Giriş,4+1,135,Şişli,Teşvikiye,90000,480000
0,8,Bahçe katı,3+1,130,Sancaktepe,Abdurrahmangazi,0,245000
5,10,3,3+1,140,Tuzla,Aydıntepe,200000,200000
11-15 arası,10-20 arası,Bahçe katı,3+1,170,Sarıyer,Maslak,1005000,1005000
21-25 arası,5,3,3+1,135,Bahçelievler,Siyavuşpaşa,250000,310000
31-35 arası,5,2,2+1,100,Beşiktaş,Nisbetiye,70000,485000
31-35 arası,4,4,3+1,90,Kadıköy,Zühtüpaşa,145000,190000
0,10,5,3+1,135,Pendik,Güllü Bağlar,0,215000
0,5,1,4+1,150,Başakşehir,Kayabaşı,275000,345000
26-30 arası,4,2,3+1,120,Beşiktaş,Yıldız,795000,795000
36-40 arası,4,2,2+1,90,Beşiktaş,Cihannüma,75000,250000
16-20 arası,6,Yüksek Giriş,3+1,130,Küçükçekmece,Atakent,440000,550000
26-30 arası,9,3,3+1,125,Kadıköy,Göztepe,0,270000
0,10,5,2+1,104,Pendik,Güllü Bağlar,0,220000
26-30 arası,8,4,3+1,115,Kadıköy,Erenköy,630000,790000
16-20 arası,4,2,3+1,120,Maltepe,Zümrütevler,0,225000
0,10-20 arası,7,3+1,130,Arnavutköy,Hadımköy,70000,100000
16-20 arası,10-20 arası,16,3+1,95,Küçükçekmece,Atakent,255000,320000
36-40 arası,5,Giriş Katı,2+1,80,Şişli,Teşvikiye,110000,265000
0,5,5,2+1,100,Bahçelievler,Kocasinan Merkez,135000,470000
0,3,Bahçe katı,2+1,86,Maltepe,Altıntepe,180000,225000
31-35 arası,5,2,3+1,140,Şişli,Teşvikiye,0,835000
16-20 arası,10-20 arası,6,3+1,96,Ataşehir,İçerenköy,100000,200000
2,10-20 arası,7,2+1,135,Büyükçekmece,Pınartepe,0,550000
26-30 arası,9,6,3+1,115,Kadıköy,Erenköy,0,270000
31-35 arası,4,4,3+1,90,Kadıköy,Zühtüpaşa,110000,190000
26-30 arası,4,1,3+1,120,Beşiktaş,Etiler,160000,495000
31-35 arası,3,1,2+1,90,Kadıköy,Feneryolu,160000,200000
36-40 arası,4,1,3+1,105,Kadıköy,Bostancı,200000,250000
16-20 arası,9,Yüksek Giriş,3+1,128,Kadıköy,Acıbadem,0,430000
26-30 arası,7,3,3+1,120,Beşiktaş,Ulus,0,560000
26-30 arası,6,Bahçe katı,2+1,85,Beşiktaş,Etiler,0,365000
0,9,4,2+1,115,Beylikdüzü,Beylikdüzü OSB,180000,180000
0,4,Bahçe katı,2+1,100,Beyoğlu,Tomtom,95000,1750000
0,5,5,3+1,115,Çekmeköy,Alemdağ,0,250000
0,4,2,3+1,130,Bahçelievler,Bahçelievler,340000,425000
21-25 arası,5,Giriş Katı,4+1,160,Beşiktaş,Konaklar,470000,590000
16-20 arası,6,Kot 3,3+1,110,Kadıköy,Göztepe,0,300000
1,10,7,2+1,110,Eyüpsultan,Alibeyköy,75000,100000
2,7,Giriş Katı,2+1,99,Beylikdüzü,Adnan Kahveci,850000,850000
36-40 arası,5,Giriş Katı,2+1,80,Şişli,Teşvikiye,0,360000
21-25 arası,10,3,3+1,110,Bahçelievler,Bahçelievler,405000,405000
21-25 arası,4,Giriş Katı,2+1,110,Avcılar,Merkez,30000,105000
0,5,1,2+1,110,Bahçelievler,Kocasinan Merkez,80000,190000
26-30 arası,6,3,3+1,88,Beşiktaş,Gayrettepe,235000,320000
0,10-20 arası,5,3+1,100,Bağcılar,Göztepe,0,230000
6-10 arası,6,1,2+1,90,Büyükçekmece,Ekinoba,200000,200000
16-20 arası,7,3,2+1,100,Büyükçekmece,Mimaroba,0,100000
11-15 arası,5,1,2+1,100,Maltepe,Zümrütevler,0,165000
6-10 arası,10-20 arası,4,3+1,147,Beylikdüzü,Adnan Kahveci,185000,230000
26-30 arası,8,4,3+1,115,Kadıköy,Erenköy,0,215000
21-25 arası,10-20 arası,12,3+1,115,Başakşehir,Bahçeşehir 2. Kısım,115000,165000
26-30 arası,8,4,3+1,150,Kadıköy,Kozyatağı,0,230000
6-10 arası,20 ve üzeri,7,2+1,95,Başakşehir,Ziya Gökalp,235000,525000
0,10-20 arası,4,3+1,130,Arnavutköy,Hadımköy,105000,105000
6-10 arası,10,5,3+1,140,Beylikdüzü,Barış,0,120000
40 ve üzeri,5,Giriş Katı,3+1,102,Üsküdar,Salacak,0,220000
26-30 arası,4,1,3+1,120,Kadıköy,Erenköy,0,285000
21-25 arası,10-20 arası,14,3+1,105,Kadıköy,Sahrayı Cedit,0,550000
1,6,1,3+1,126,Sancaktepe,Abdurrahmangazi,290000,430000
